chr	start	stop	q-value	mean methylation difference	#CpGs	p (MWU)	p (2D KS)	mean g1	mean g2
chr15	89408556	89410140	0.0002812	0.236046	12	1.5399e-11	2.2068e-07	0.344	0.10795
chr15	96325628	96325992	5.5911e-06	-0.280544	8	3.4528e-13	1.1875e-09	0.16927	0.44981
chr15	96779321	96779903	0.020423	-0.191336	5	2.24e-05	0.00023348	0.60461	0.79594
chr16	563006	563633	0.00033559	-0.309613	5	8.7155e-07	2.9356e-07	0.62657	0.93619
chr16	564645	565316	0.003056	-0.214207	5	1.2918e-06	6.0287e-06	0.6961	0.9103
chr16	841260	842049	0.021283	-0.193988	7	3.799e-06	0.00024472	0.49001	0.684
chr16	991053	991334	0.010705	-0.208762	6	1.3825e-05	6.4354e-05	0.59518	0.80394
chr16	1095964	1096546	0.038519	-0.194024	6	2.3542e-05	0.00049378	0.55457	0.7486
chr16	1166285	1167261	0.032491	-0.189376	8	1.1447e-05	0.00038562	0.62843	0.81781
chr16	1533809	1534118	0.0044924	0.129498	6	4.9149e-06	2.2948e-05	0.61161	0.48211
chr16	9763294	9763948	0.016444	-0.288728	5	1.7287e-06	0.00013571	0.55612	0.84485
chr16	10876944	10877394	0.00052373	-0.263204	5	9.8355e-09	5.4486e-07	0.2285	0.4917
chr16	29745997	29746141	0.01211	-0.148777	7	0.00025329	7.5637e-05	0.42983	0.5786
chr16	54938166	54939136	0.021222	0.203768	7	8.7526e-06	0.00024378	0.35132	0.14755
chr16	55874958	55875821	0.016444	-0.233632	5	2.3058e-06	0.0001479	0.55124	0.78487
chr16	58501189	58501653	0.010501	-0.158713	5	1.325e-05	6.3054e-05	0.19126	0.34997
chr16	66579052	66579432	8.7013e-08	0.354684	9	4.6851e-14	7.8308e-12	0.50552	0.15084
chr16	86917221	86917792	0.022367	-0.230214	5	0.00018768	0.00025863	0.68503	0.91524
chr16	87067928	87069086	0.0039841	-0.20778	11	1.4763e-08	1.1641e-05	0.67451	0.88229
chr17	2796077	2796425	0.0040112	-0.196989	7	3.1304e-07	1.8168e-05	0.26546	0.46244
chr17	5116015	5116467	0.0017073	0.289208	5	2.1e-07	2.9992e-06	0.51764	0.22843
chr17	7854784	7855743	1.8119e-05	0.185057	14	8.8818e-14	5.74e-09	0.81207	0.62701
chr17	17561848	17562369	0.036458	0.166345	6	3.7006e-06	0.00046274	0.64003	0.47368
chr17	19745612	19745981	0.032822	-0.107236	7	0.075152	0.00039027	0.55454	0.66178
chr17	27471715	27472422	8.952e-05	-0.223836	7	1.0469e-09	4.9628e-08	0.48007	0.70391
chr17	35432493	35433275	2.6191e-05	0.242666	9	1.2525e-11	9.2397e-09	0.47452	0.23185
chr17	38578228	38578690	0.011545	0.202652	5	2.7888e-06	7.1982e-05	0.40777	0.20511
chr17	38867767	38868508	0.00031862	-0.269934	6	4.1342e-08	2.658e-07	0.18811	0.45804
chr17	45261673	45262465	0.0020344	0.17281	12	1.1509e-07	3.8082e-06	0.24419	0.07138
chr17	48530466	48531209	2.6482e-07	0.275897	12	4.5186e-14	3.0506e-11	0.83529	0.5594
chr17	48545092	48545175	0.003056	0.267767	5	1.2918e-06	5.999e-06	0.57524	0.30748
chr17	48551301	48551989	0.0069744	0.159156	6	0.00017317	4.0304e-05	0.68604	0.52689
chr17	48564142	48564743	0.00034129	0.28634	5	3.0331e-08	3.3295e-07	0.48067	0.19433
chr17	48574360	48575140	0.0020961	0.174544	10	5.8422e-05	3.9313e-06	0.62755	0.45301
chr17	48577927	48578732	3.2538e-09	0.198568	16	4.6851e-14	1.0542e-13	0.25804	0.05947
chr17	48590225	48590451	0.0017073	0.187114	5	3.1767e-07	2.9835e-06	0.70162	0.51451
chr17	48592123	48592283	1.7036e-05	0.353888	5	2.1536e-09	5.2129e-09	0.66585	0.31197
chr17	48593248	48593770	0.0039841	0.244548	6	4.9149e-06	1.2614e-05	0.32878	0.084232
chr17	48621236	48621794	9.1354e-06	0.303845	5	6.2044e-09	2.1934e-09	0.62073	0.31688
chr17	48633655	48634085	3.6409e-05	0.351856	5	6.9657e-09	1.35e-08	0.47015	0.11829
chr17	48718498	48719195	1.9213e-06	0.307116	5	1.3329e-09	3.4582e-10	0.50703	0.19992
chr17	48722278	48722667	5.4623e-08	0.429432	8	7.4163e-14	3.5394e-12	0.58783	0.15839
chr17	48725155	48725647	6.0314e-05	0.388661	5	4.3748e-09	2.7792e-08	0.44074	0.052075
chr17	48747365	48748010	0.032735	0.251122	5	0.00039858	0.000389	0.43493	0.18381
chr17	49964771	49965554	0.016444	0.203701	5	1.325e-05	0.00013213	0.30862	0.10492
chr17	50468589	50469194	0.0002419	0.22186	10	4.6052e-10	1.8548e-07	0.52173	0.29987
chr17	50834904	50835500	0.016444	0.11209	10	0.00012661	0.00014373	0.49241	0.38032
chr17	53822476	53823174	0.00056488	-0.319002	8	2.2798e-10	5.9183e-07	0.56761	0.88661
chr17	58692267	58692407	0.0068903	-0.201586	5	1.2124e-05	3.9523e-05	0.5208	0.72239
chr17	59840901	59841322	6.0354e-05	-0.334901	5	1.5036e-09	2.8027e-08	0.14826	0.48316
chr17	61457322	61457893	0.0016753	0.234563	5	2.866e-07	2.8906e-06	0.43696	0.20239
chr17	61461890	61462355	0.034569	0.180729	5	0.0010778	0.00041179	0.27165	0.090923
chr17	74446789	74447263	0.016444	0.100158	6	7.8991e-05	0.00012449	0.53746	0.4373
chr17	75509936	75510123	7.9413e-06	0.172262	5	1.6955e-09	1.8296e-09	0.81648	0.64422
chr17	75587758	75588537	0.013366	0.201779	9	5.5584e-05	8.9396e-05	0.29915	0.09737
chr17	78132400	78132603	0.00022856	-0.182346	8	6.8474e-11	1.7196e-07	0.20853	0.39088
chr17	78224527	78224875	0.003373	0.141951	6	2.3307e-09	7.0281e-06	0.90714	0.76519
chr17	79540231	79541005	0.042726	-0.2086	8	1.4902e-05	0.0005617	0.58826	0.79686
chr17	79802629	79803375	0.029739	0.175539	6	0.00054107	0.00035136	0.31937	0.14384
chr17	80177985	80178668	0.0039841	-0.202029	6	1.2044e-07	1.2227e-05	0.71044	0.91247
chr17	81125446	81126488	2.777e-06	-0.307529	10	1.1768e-13	5.1984e-10	0.55358	0.86111
chr17	82583673	82584243	0.00019183	0.149128	6	6.5575e-05	1.3673e-07	0.79833	0.6492
chr17	82840005	82840424	0.026463	-0.141433	9	0.0076523	0.00031094	0.62964	0.77107
chr18	11148511	11149070	0.0039841	0.183253	9	1.3673e-06	1.4392e-05	0.29462	0.11137
chr18	14748199	14748300	0.0089513	0.158549	6	2.5138e-05	5.32e-05	0.32633	0.16778
chr18	23872766	23873168	5.4048e-05	-0.299427	7	2.2453e-11	2.2375e-08	0.48259	0.78201
chr18	31042019	31043194	0.0014277	0.202388	16	2.1095e-09	2.1023e-06	0.31358	0.11119
chr18	46519065	46519378	0.0039841	-0.190645	5	3.3683e-06	1.6666e-05	0.49312	0.68376
chr18	46679824	46680488	0.016444	-0.186931	6	0.00012858	0.00012221	0.76231	0.94924
chr18	46946737	46947064	0.0032539	0.240744	6	1.2044e-07	6.6874e-06	0.2747	0.033953
chr18	58195345	58195641	0.0060018	0.171279	7	1.0306e-05	3.2127e-05	0.32101	0.14973
chr18	58628862	58629376	0.016444	0.10875	7	0.00010357	0.00014311	0.72611	0.61736
chr18	63476693	63477107	4.431e-07	-0.329779	9	2.4526e-12	5.7423e-11	0.49862	0.8284
chr18	77249468	77250414	0.003373	0.105337	17	5.2041e-10	7.0326e-06	0.15981	0.054469
chr19	292102	292272	0.02203	-0.16499	8	1.4293e-06	0.00025441	0.67574	0.84073
chr19	496239	496529	0.016444	0.102221	6	6.5575e-05	0.00012309	0.23318	0.13096
chr19	1132257	1132539	6.3769e-06	-0.223323	7	3.1819e-12	1.4233e-09	0.12481	0.34814
chr19	9362889	9363453	0.0014926	0.249402	11	1.4763e-08	2.2209e-06	0.42056	0.17116
chr19	12513652	12513957	0.018356	0.197161	6	0.00016323	0.00019734	0.47044	0.27328
chr19	13002641	13003080	0.016444	0.168097	5	9.2693e-06	0.00014627	0.70494	0.53684
chr19	15264472	15264614	0.0058612	0.145554	7	2.7633e-07	3.1311e-05	0.73899	0.59344
chr19	16283555	16283964	0.031571	0.228897	5	6.1576e-05	0.00037403	0.31889	0.089991
chr19	33621777	33622544	0.021441	0.212102	7	2.1741e-05	0.00024691	0.24943	0.037332
chr19	33683439	33684147	6.0418e-05	-0.289375	10	1.01e-12	2.8274e-08	0.4723	0.76167
chr19	33772254	33773207	0.0054435	-0.263571	7	1.907e-06	2.8943e-05	0.56695	0.83052
chr19	35351268	35351951	0.0016619	-0.205051	6	3.4959e-08	2.8477e-06	0.64623	0.85128
chr19	35490322	35490776	0.0056579	-0.237877	7	7.3842e-07	3.0164e-05	0.49934	0.73722
chr19	36604564	36605687	2.5677e-07	0.334247	10	5.7399e-14	2.8655e-11	0.4182	0.083957
chr19	37334405	37334545	0.011034	0.139617	6	0.00045848	6.6574e-05	0.40641	0.26679
chr19	37551207	37551571	0.0010721	0.269891	5	1.325e-05	1.4598e-06	0.46442	0.19453
chr19	37691872	37692518	0.0072709	0.148216	10	4.0991e-05	4.2533e-05	0.19822	0.050004
chr19	38395470	38396150	0.001362	0.281986	6	1.0554e-08	1.971e-06	0.43442	0.15243
chr19	39336028	39336288	0.029218	-0.137192	6	0.00048461	0.00034457	0.27271	0.4099
chr19	41844264	41845065	0.0072986	-0.11349	13	3.3088e-05	4.2826e-05	0.78154	0.89503
chr19	44448229	44448621	0.0039841	0.149957	10	1.9675e-06	1.0976e-05	0.23267	0.08271
chr19	45815256	45816141	0.0047226	0.146753	8	1.2504e-05	2.4634e-05	0.59106	0.44431
chr19	48171674	48172049	0.003056	0.172855	5	2.4285e-08	6.0073e-06	0.93661	0.76375
chr19	49688085	49688844	0.043459	0.114912	6	0.0017227	0.00057166	0.78828	0.67336
chr19	50716718	50717281	0.0039841	-0.180259	10	7.2819e-08	1.4541e-05	0.56716	0.74742
chr19	51887557	51888537	5.4667e-07	0.260306	14	1.8974e-13	7.8077e-11	0.51646	0.25616
chr19	52369663	52370372	0.0052899	0.187892	10	1.5432e-05	2.805e-05	0.25372	0.065831
chr19	53647646	53648346	0.035148	-0.137313	5	1.0141e-05	0.00043134	0.82461	0.96193
chr19	55947560	55947869	0.035764	-0.237502	5	2.6607e-05	0.00044855	0.61559	0.85309
chr19	56393073	56393784	0.0018255	0.178954	12	2.0346e-07	3.2923e-06	0.26016	0.081209
chr19	56839954	56841152	8.2245e-05	0.114915	16	8.8215e-12	4.0857e-08	0.63664	0.52172
chr19	57119750	57120038	0.0039841	-0.173538	5	1.0618e-06	1.1505e-05	0.77719	0.95073
chr19	57708712	57709470	0.0095846	0.241393	10	1.2575e-06	5.7206e-05	0.35336	0.11197
chr19	58033633	58034470	0.00033627	0.26084	11	9.091e-10	3.0743e-07	0.3547	0.093856
chr2	365090	366114	1.6984e-06	-0.254426	8	6.0238e-12	2.9347e-10	0.60647	0.8609
chr2	394115	394573	0.011308	-0.239477	5	9.2693e-06	6.9094e-05	0.35759	0.59707
chr2	444504	445431	0.0070934	-0.226067	6	2.4025e-06	4.1316e-05	0.57182	0.79788
chr2	466712	467136	0.00033627	-0.269564	8	6.5068e-10	3.0871e-07	0.6455	0.91507
chr2	496713	497418	0.013447	-0.264721	7	8.2264e-08	9.0424e-05	0.57254	0.83726
chr2	503383	503777	0.0030299	-0.220824	5	1.1714e-06	5.8789e-06	0.72853	0.94936
chr2	554363	554700	1.7033e-05	-0.423261	5	6.9657e-09	5.1505e-09	0.45032	0.87358
chr2	1413083	1413660	5.4667e-07	-0.390229	7	1.0063e-12	7.8716e-11	0.5319	0.92213
chr2	1484480	1484867	0.00010984	-0.322027	5	8.7702e-09	6.6565e-08	0.61555	0.93757
chr2	1842675	1843349	0.0033482	-0.174732	6	3.7006e-06	6.9183e-06	0.75725	0.93198
chr2	1922594	1923136	6.5593e-05	-0.373637	6	1.1488e-10	3.1877e-08	0.47253	0.84616
chr2	2577513	2577786	0.0067786	-0.350356	5	1.0618e-06	3.849e-05	0.42019	0.77055
chr2	2889370	2889961	0.035436	-0.205675	5	0.00049618	0.00044136	0.67176	0.87743
chr2	27380680	27380967	0.039574	0.103071	9	2.3948e-05	0.00051101	0.13158	0.028511
chr2	44928062	44929069	0.0016263	0.310416	8	9.7505e-09	2.7632e-06	0.42853	0.11811
chr2	44932006	44933416	2.8604e-06	0.254736	13	4.238e-11	5.5603e-10	0.5726	0.31786
chr2	53859717	53860207	8.8038e-08	0.245815	11	4.1522e-14	8.24e-12	0.77221	0.5264
chr2	63047341	63048044	0.0083529	0.218779	7	8.2264e-08	4.9492e-05	0.5925	0.37372
chr2	63048374	63049082	0.00021769	0.262762	7	6.7192e-10	1.63e-07	0.50091	0.23814
chr2	63057962	63058915	1.6792e-05	0.30856	9	4.0792e-12	5.0171e-09	0.50449	0.19593
chr2	66437403	66437829	0.00020097	0.370259	5	6.9657e-09	1.4541e-07	0.55787	0.18761
chr2	66440301	66440881	1.3363e-06	0.354622	6	5.2327e-11	2.2609e-10	0.53638	0.18176
chr2	70907394	70907807	1.2188e-05	0.321575	6	3.6436e-10	3.3783e-09	0.53391	0.21234
chr2	74515182	74516713	0.0048566	0.225981	9	6.095e-06	2.5507e-05	0.4482	0.22222
chr2	74648100	74648422	2.0172e-05	0.211161	8	6.8898e-12	6.608e-09	0.6601	0.44894
chr2	84290614	84290827	0.0039841	-0.229212	6	1.548e-06	1.2517e-05	0.71692	0.94613
chr2	85584169	85584540	0.0069166	0.188225	5	0.00013748	3.9794e-05	0.46963	0.2814
chr2	96527269	96527952	0.0018413	0.186347	6	9.1809e-07	3.3405e-06	0.29119	0.10484
chr2	97733900	97735540	0.016444	-0.121019	15	1.6371e-05	0.00014449	0.82598	0.947
chr2	105241498	105242627	0.0082841	-0.174138	14	3.0472e-08	4.9027e-05	0.69697	0.87111
chr2	106065375	106065876	0.013714	0.202041	7	1.0582e-06	9.3209e-05	0.34004	0.138
chr2	118224172	118225005	0.014261	0.245833	6	0.0012685	9.816e-05	0.37891	0.13308
chr2	118844636	118846394	0.010802	0.120764	14	2.7519e-06	6.4979e-05	0.3095	0.18873
chr2	118857920	118858667	0.036264	0.130668	5	0.00034382	0.00045742	0.27837	0.1477
chr2	130916198	130916629	0.00073764	0.224544	6	1.3057e-07	9.1611e-07	0.51415	0.2896
chr2	132670849	132671727	2.1315e-05	-0.166977	9	5.5079e-11	7.3662e-09	0.13018	0.29716
chr2	161426411	161427696	0.0016753	0.307877	10	9.2579e-10	2.8893e-06	0.52439	0.21651
chr2	170822241	170823082	0.00445	0.266477	5	1.7256e-05	2.2552e-05	0.41666	0.15019
chr2	172080330	172080656	0.0016753	0.297282	5	2.0954e-06	2.9128e-06	0.60745	0.31017
chr2	176067730	176068680	0.00010985	0.310098	6	2.7381e-10	6.7225e-08	0.47082	0.16072
chr2	176071363	176072215	1.8387e-05	0.314333	7	1.4797e-10	5.8909e-09	0.49384	0.1795
chr2	176083036	176084290	0.0062325	0.210571	14	3.769e-07	3.4364e-05	0.37147	0.1609
chr2	176099220	176099993	2.9786e-07	0.300036	10	5.1514e-14	3.6457e-11	0.49352	0.19349
chr2	176104016	176104496	0.0039841	0.189902	6	1.0541e-05	1.1737e-05	0.36119	0.17129
chr2	176108960	176109333	0.0065596	0.297624	5	9.2693e-06	3.6885e-05	0.45096	0.15333
chr2	176116109	176117615	0.0060443	0.254327	11	5.5994e-08	3.242e-05	0.46593	0.21161
chr2	176121732	176122878	0.0044997	0.221245	12	2.6332e-06	2.3001e-05	0.39814	0.17689
chr2	176128289	176128593	0.001876	0.279702	6	3.207e-06	3.4711e-06	0.44646	0.16676
chr2	176129414	176130037	0.0032227	0.247177	9	2.2935e-08	6.5779e-06	0.31592	0.068746
chr2	176147389	176147979	3.8318e-06	0.297337	7	3.7546e-12	7.6033e-10	0.57577	0.27843
chr2	176149739	176150398	9.4908e-08	0.29803	13	5.0959e-14	9.2247e-12	0.56273	0.2647
chr2	176151264	176152110	0.00033627	0.239628	7	1.2682e-10	3.009e-07	0.46096	0.22133
chr2	176152603	176153070	0.0039841	0.22655	6	3.7006e-06	9.2199e-06	0.471	0.24445
chr2	176162712	176163435	0.0060822	0.232986	7	6.2908e-06	3.2689e-05	0.44818	0.21519
chr2	176164731	176165501	5.7647e-06	0.27135	8	3.2865e-12	1.2562e-09	0.52536	0.25401
chr2	182866212	182867335	0.00067917	0.263863	11	1.6388e-08	7.8482e-07	0.3523	0.088437
chr2	199464763	199465150	0.020914	0.168398	7	0.00038059	0.00023986	0.33803	0.16963
chr2	222297947	222299091	0.00020556	0.235904	14	2.9507e-10	1.5095e-07	0.41882	0.18292
chr2	224401863	224402160	5.6821e-05	0.233443	7	7.7939e-10	2.4341e-08	0.46715	0.23371
chr2	236169277	236170091	0.046857	0.229122	7	0.00056585	0.00061921	0.30805	0.078923
chr2	237591150	237591747	0.0016683	-0.190514	5	1.4241e-06	2.8646e-06	0.32584	0.51635
chr2	239247140	239247585	3.9324e-05	-0.38096	6	1.9433e-09	1.5147e-08	0.54532	0.92629
chr2	239728031	239729010	0.00029196	-0.247909	6	4.1342e-08	2.3017e-07	0.51938	0.76729
chr2	240322841	240323651	0.021271	-0.207201	8	4.4338e-06	0.0002445	0.65219	0.85939
chr2	240519469	240520586	9.6752e-05	0.267717	8	1.1556e-08	5.5316e-08	0.65062	0.3829
chr2	241808830	241809611	6.212e-05	-0.191857	8	4.6258e-09	2.9773e-08	0.66138	0.85323
chr2	241859744	241860041	0.043151	-0.16334	6	1.9312e-05	0.00056745	0.3169	0.48024
chr2	242011334	242012280	0.033173	-0.220009	7	4.4695e-05	0.00039479	0.4921	0.71211
chr20	19886099	19886502	0.026471	0.101918	8	0.0014962	0.00031113	0.43757	0.33565
chr20	31440259	31440616	0.0043743	-0.297113	6	3.1306e-07	2.1919e-05	0.49197	0.78908
chr20	33193076	33193588	0.0058542	-0.18797	7	2.6783e-05	3.1253e-05	0.43711	0.62508
chr20	33282969	33283214	0.0044473	-0.193038	5	2.8983e-05	2.2413e-05	0.44709	0.64013
chr20	38723969	38724516	0.01836	0.12048	9	2.229e-05	0.00019775	0.17232	0.051836
chr20	46029157	46029310	0.016444	0.184965	5	0.00021881	0.0001452	0.30171	0.11674
chr20	57711615	57712143	0.040954	-0.128086	6	6.9787e-05	0.00053826	0.5951	0.72318
chr20	59190760	59191520	0.00057799	-0.318172	7	1.5094e-09	6.1587e-07	0.55318	0.87135
chr20	59300263	59300649	0.0398	0.125952	9	0.00031442	0.00051466	0.21872	0.092765
chr20	63736346	63736905	0.014815	-0.223984	8	5.624e-07	0.00010229	0.40749	0.63147
chr20	64106194	64106858	0.039429	-0.178716	6	0.0007906	0.00050829	0.60385	0.78257
chr20	64163988	64165065	0.006814	-0.24047	11	3.1931e-09	3.883e-05	0.55512	0.79559
chr21	36704409	36705672	8.9348e-05	0.316931	10	2.0834e-12	4.9211e-08	0.46367	0.14674
chr22	17199587	17199689	0.029804	0.181031	7	0.00011404	0.0003524	0.6425	0.46147
chr22	17477411	17477600	6.212e-05	0.397982	5	1.5036e-09	2.9333e-08	0.61342	0.21544
chr22	22559162	22559424	0.0069728	-0.153933	6	2.2042e-05	4.0212e-05	0.27004	0.42397
chr22	24426834	24427587	0.018634	-0.141334	10	5.6736e-05	0.00020536	0.59836	0.73969
chr22	30080109	30080464	0.032627	0.190016	8	0.00047768	0.00038747	0.48233	0.29231
chr22	30266885	30267328	0.00016246	-0.177771	8	2.8212e-08	1.0644e-07	0.41131	0.58908
chr22	37579934	37580186	0.0039841	-0.248138	5	5.3654e-06	1.1006e-05	0.40799	0.65613
chr22	44172507	44172933	0.032076	-0.152973	8	7.5767e-07	0.00038035	0.47277	0.62574
chr22	44180989	44181386	0.00048443	-0.214258	9	8.8472e-10	4.9526e-07	0.25042	0.46468
chr22	44312881	44313029	0.01898	-0.229099	5	6.6834e-05	0.00021372	0.5847	0.8138
chr22	46085723	46086144	0.0010727	0.148526	9	8.2532e-06	1.4695e-06	0.54619	0.39767
chr22	48980542	48981075	0.0017088	-0.327656	5	1.4241e-06	3.0094e-06	0.47715	0.8048
chr22	50044496	50045117	0.0039841	-0.242438	5	2.0954e-06	1.1489e-05	0.34863	0.59107
chr22	50578072	50578275	0.00070865	0.257062	6	1.3057e-07	8.5969e-07	0.69284	0.43577
chr3	5095864	5096486	0.0039841	0.218756	5	7.0637e-06	1.0735e-05	0.47143	0.25267
chr3	10108279	10108456	0.0017073	0.151709	6	1.369e-08	2.9848e-06	0.85452	0.70281
chr3	11136378	11137113	0.0034539	-0.235325	9	3.0816e-09	7.5619e-06	0.50155	0.73687
chr3	24495786	24495917	0.01098	-0.168863	6	3.1306e-07	6.6126e-05	0.12093	0.28979
chr3	27723741	27724056	0.0016753	0.301943	5	5.2538e-08	2.9099e-06	0.44787	0.14592
chr3	27724554	27724892	0.016444	0.15699	5	7.7362e-06	0.00014837	0.36095	0.20396
chr3	35679502	35679793	0.035832	-0.227303	5	0.001512	0.00044978	0.64445	0.87176
chr3	37993972	37994570	0.0013847	0.199903	7	2.1808e-08	2.0139e-06	0.47845	0.27854
chr3	50319740	50320214	0.0072986	0.166756	5	1.9036e-06	4.278e-05	0.76294	0.59618
chr3	50340557	50341181	5.7292e-05	0.287214	11	2.2131e-10	2.5467e-08	0.3431	0.055889
chr3	52998802	52999152	0.035231	-0.153869	5	0.00031916	0.00043323	0.77038	0.92425
chr3	62376985	62378716	0.0018651	0.19844	13	3.915e-07	3.4039e-06	0.42578	0.22734
chr3	69999226	69999776	0.0016372	-0.281158	6	1.5337e-07	2.7877e-06	0.59314	0.87429
chr3	79767644	79768184	0.0058359	0.155202	7	8.3295e-07	3.1134e-05	0.24275	0.087547
chr3	127337994	127338307	0.0039841	0.192109	5	8.5272e-05	1.1477e-05	0.48026	0.28816
chr3	128485970	128486432	0.016444	0.225723	5	1.1714e-06	0.00014736	0.53174	0.30601
chr3	129974527	129975215	0.0030841	0.292131	7	8.7787e-08	6.1088e-06	0.35949	0.067361
chr3	136818765	136820487	0.009384	0.148938	17	0.00010508	5.5941e-05	0.25156	0.10262
chr3	138009850	138010455	0.00027938	0.176909	12	3.4439e-10	2.1824e-07	0.75611	0.5792
chr3	138939401	138940180	0.0028619	0.198067	8	3.3571e-06	5.4293e-06	0.34174	0.14367
chr3	141797390	141797864	0.011384	0.16148	6	1.8071e-05	7.0165e-05	0.27618	0.1147
chr3	147388223	147389563	0.00095211	0.273708	8	3.1119e-10	1.2339e-06	0.4668	0.19309
chr3	147409792	147410371	0.0039841	0.24217	5	1.8918e-07	1.1704e-05	0.42792	0.18575
chr3	147424315	147424629	0.022877	0.169293	5	1.7256e-05	0.00026485	0.35023	0.18093
chr3	192727196	192727806	0.016444	0.13588	12	9.2206e-05	0.00014311	0.21367	0.077788
chr3	196338235	196338699	0.00089875	-0.189788	11	1.9846e-09	1.1615e-06	0.56638	0.75617
chr4	625373	626077	0.0086723	-0.196692	9	4.6668e-07	5.148e-05	0.56316	0.75985
chr4	818599	819097	0.016444	-0.251225	5	4.8919e-06	0.00014724	0.63309	0.88432
chr4	1002061	1002493	0.0040154	0.31131	5	1.5807e-05	1.856e-05	0.4314	0.12009
chr4	1623285	1624006	0.0068583	-0.202349	5	2.5363e-06	3.9206e-05	0.61304	0.81539
chr4	3473314	3473646	0.025543	-0.217535	6	1.8071e-05	0.00030003	0.60275	0.82029
chr4	7287755	7288132	0.0073461	-0.226221	5	0.0006157	4.3158e-05	0.47877	0.70499
chr4	8135269	8135429	0.035599	-0.131557	5	0.00081694	0.00044406	0.8164	0.94796
chr4	8586989	8587203	0.0039841	-0.24521	5	2.3302e-07	1.1886e-05	0.57928	0.82449
chr4	10461632	10462126	0.035042	0.158144	5	6.1576e-05	0.00042211	0.31421	0.15607
chr4	13530998	13531522	0.0039841	0.251848	5	8.7155e-07	9.1795e-06	0.34916	0.09731
chr4	40856948	40857328	0.014925	-0.144914	9	2.358e-07	0.0001031	0.15839	0.3033
chr4	41751015	41752109	0.016625	0.164729	9	2.8625e-05	0.00015459	0.26458	0.099852
chr4	41878302	41878971	0.029659	0.210715	6	5.2735e-06	0.0003501	0.5456	0.33488
chr4	41880563	41881148	0.00010494	0.245243	7	4.264e-08	6.0818e-08	0.39066	0.14542
chr4	46909195	46909534	0.016444	-0.193028	6	1.8071e-05	0.0001185	0.72076	0.91379
chr4	75555471	75556090	0.029845	-0.211423	6	0.00011398	0.00035326	0.53866	0.75008
chr4	80198024	80198320	0.035042	0.225071	5	0.00034382	0.00041756	0.45759	0.23252
chr4	80206665	80207692	0.018813	0.204878	6	5.2735e-06	0.00020961	0.70603	0.50115
chr4	84495712	84497664	1.2609e-05	0.240301	12	6.6819e-12	3.5405e-09	0.44833	0.20803
chr4	98929852	98930131	1.0338e-08	-0.193881	7	7.2609e-13	5.0008e-13	0.10435	0.29823
chr4	99651836	99652694	0.043912	-0.152407	6	3.7097e-05	0.00057793	0.74237	0.89477
chr4	103719040	103720392	0.02763	0.202617	13	4.7663e-06	0.00032515	0.38584	0.18323
chr4	110611840	110612796	0.003992	0.167603	9	1.1552e-05	1.7299e-05	0.41109	0.24348
chr4	110622860	110623308	0.0039841	0.215436	9	7.0578e-05	1.0864e-05	0.31671	0.10127
chr4	110628724	110629675	9.6462e-06	0.376281	7	1.7877e-12	2.5002e-09	0.53316	0.15688
chr4	110630486	110631198	0.002025	0.324549	6	4.4943e-08	3.7834e-06	0.45195	0.1274
chr4	110633810	110634348	0.00011163	0.324	5	1.1026e-08	6.8717e-08	0.4638	0.13981
chr4	110637832	110638200	0.01138	0.215221	5	0.00066116	6.9891e-05	0.39877	0.18355
chr4	112379290	112379666	0.0068941	0.148225	5	1.2918e-06	3.9608e-05	0.90584	0.75761
chr4	113292758	113293294	0.029804	0.212949	6	8.9334e-05	0.00035253	0.61968	0.40673
chr4	122826378	122826518	9.1354e-06	0.249479	5	1.6955e-09	2.3008e-09	0.64125	0.39177
chr4	153789201	153789810	0.0091782	0.182206	18	1.3879e-05	5.4648e-05	0.28724	0.10503
chr4	154740697	154743160	0.011027	0.186027	17	2.2658e-05	6.6462e-05	0.43616	0.25013
chr4	164977514	164977816	0.016873	0.202011	8	1.4293e-06	0.00016029	0.45384	0.25183
chr4	174217337	174218854	0.0020098	0.194123	10	3.4918e-06	3.7477e-06	0.30457	0.11044
chr4	185811683	185812275	0.0010716	-0.190864	9	6.7079e-09	1.4342e-06	0.30728	0.49814
chr4	187995514	187995714	0.0077748	0.244563	7	2.291e-05	4.5957e-05	0.37423	0.12967
chr5	600702	601454	0.00034657	-0.266633	8	1.653e-07	3.4123e-07	0.58007	0.8467
chr5	1794118	1794901	0.0039841	-0.259271	5	4.7775e-07	1.0733e-05	0.51024	0.76951
chr5	1859650	1860429	0.016507	-0.268706	7	2.0212e-06	0.00015129	0.56371	0.83242
chr5	2111756	2112448	0.0017924	-0.276155	8	2.3907e-08	3.2068e-06	0.61617	0.89232
chr5	2186257	2186891	0.0039841	-0.33897	5	7.1432e-07	1.1042e-05	0.52678	0.86576
chr5	2252764	2253129	0.0039841	-0.329861	5	2.3058e-06	9.0676e-06	0.49279	0.82265
chr5	2338451	2338987	0.0010716	-0.353489	5	7.8175e-09	1.4285e-06	0.39203	0.74552
chr5	2537096	2537793	0.030251	-0.225706	9	1.8178e-07	0.00035817	0.41795	0.64365
chr5	2702224	2703282	0.0047439	-0.356791	8	1.4257e-09	2.4813e-05	0.52785	0.88465
chr5	3285821	3286183	0.018921	-0.245397	6	4.7885e-05	0.00021211	0.57862	0.82401
chr5	3535722	3536423	0.016444	-0.191722	7	0.00027753	0.00014187	0.68674	0.87846
